idx,t_us,evt,core,prio,task_id,aux,evt_name
358,49810977,2,0,1,3,0,SW_OUT
359,49810985,1,0,1,2,0,SW_IN
360,49811969,3,0,1,2,0,TICK
361,49811977,2,0,1,2,0,SW_OUT
362,49811985,1,0,1,4,0,SW_IN
363,49812969,3,0,1,4,0,TICK
364,49812977,2,0,1,4,0,SW_OUT
365,49812986,1,0,1,1,0,SW_IN
366,49813969,3,0,1,1,0,TICK
367,49813977,2,0,1,1,0,SW_OUT
368,49813984,1,0,1,5,0,SW_IN
369,49814969,3,0,1,5,0,TICK
370,49814977,2,0,1,5,0,SW_OUT
371,49814986,1,0,1,3,0,SW_IN
372,49815969,3,0,1,3,0,TICK
373,49815977,2,0,1,3,0,SW_OUT
374,49815985,1,0,1,2,0,SW_IN
375,49816969,3,0,1,2,0,TICK
376,49816977,2,0,1,2,0,SW_OUT
377,49816985,1,0,1,4,0,SW_IN
378,49817969,3,0,1,4,0,TICK
379,49817977,2,0,1,4,0,SW_OUT
380,49817986,1,0,1,1,0,SW_IN
381,49818639,2,0,1,1,0,SW_OUT
382,49818647,1,0,1,5,0,SW_IN
383,49818969,3,0,1,5,0,TICK
384,49818978,2,0,1,5,0,SW_OUT
385,49818986,1,0,1,3,0,SW_IN
386,49819969,3,0,1,3,0,TICK
387,49819977,2,0,1,3,0,SW_OUT
388,49819985,1,0,1,2,0,SW_IN
389,49820969,3,0,1,2,0,TICK
390,49820977,2,0,1,2,0,SW_OUT
391,49820985,1,0,1,4,0,SW_IN
392,49821969,3,0,1,4,0,TICK
393,49821977,2,0,1,4,0,SW_OUT
394,49821986,1,0,1,5,0,SW_IN
395,49822969,3,0,1,5,0,TICK
396,49822977,2,0,1,5,0,SW_OUT
397,49822986,1,0,1,3,0,SW_IN
398,49823969,3,0,1,3,0,TICK
399,49823977,2,0,1,3,0,SW_OUT
400,49823985,1,0,1,2,0,SW_IN
401,49824653,2,0,1,2,0,SW_OUT
402,49824661,1,0,1,4,0,SW_IN
403,49824969,3,0,1,4,0,TICK
404,49824977,2,0,1,4,0,SW_OUT
405,49824986,1,0,1,5,0,SW_IN
406,49825969,3,0,1,5,0,TICK
407,49825978,2,0,1,5,0,SW_OUT
408,49825986,1,0,1,3,0,SW_IN
409,49826969,3,0,1,3,0,TICK
410,49826977,2,0,1,3,0,SW_OUT
411,49826985,1,0,1,4,0,SW_IN
412,49827969,3,0,1,4,0,TICK
413,49827977,2,0,1,4,0,SW_OUT
414,49827986,1,0,1,5,0,SW_IN
415,49828969,3,0,1,5,0,TICK
